date,time,air_temp_mean_K,air_p_mean_Pa
6/11/2019,17:30:00,293.6143333,98467.1001
6/11/2019,18:00:00,293.5336667,98443.06117
6/11/2019,18:30:00,293.3036667,98431.67458
6/11/2019,19:00:00,292.8726667,99041.36892
6/11/2019,19:30:00,292.4223333,98400.95283
6/11/2019,20:00:00,292.2206667,98405.53365
6/11/2019,20:30:00,290.586,99009.97054
6/11/2019,21:00:00,289.3306667,98443.43858
6/11/2019,21:30:00,289.964,98450.43257
6/11/2019,22:00:00,289.0836667,98457.09616
6/11/2019,22:30:00,287.06,98481.6156
6/11/2019,23:00:00,285.4976667,98512.36974
6/11/2019,23:30:00,284.4236667,98534.14885
6/12/2019,0:00:00,283.3503333,98543.48318
6/12/2019,0:30:00,282.9846667,98560.89694
6/12/2019,1:00:00,282,98574.55184
6/12/2019,1:30:00,281.0033667,98987.03186
6/12/2019,2:00:00,280.0988667,98987.03186
6/12/2019,2:30:00,279.4671667,99041.36892
6/12/2019,3:00:00,278.9567667,99041.36892
6/12/2019,3:30:00,278.7319,99043.7846
6/12/2019,4:00:00,278.4023667,99005.1409
6/12/2019,4:30:00,278.8130667,99005.1409
6/12/2019,5:00:00,279.8122,98641.68588
6/12/2019,5:30:00,280.9601667,98643.28804
6/12/2019,6:00:00,282.6206667,98647.94086
6/12/2019,6:30:00,284.4443333,98650.50677
6/12/2019,7:00:00,285.6333333,98647.37111
6/12/2019,7:30:00,286.5576667,98639.04928
6/12/2019,8:00:00,287.6716667,98634.47039
6/12/2019,8:30:00,288.1756667,98635.2569
6/12/2019,9:00:00,288.8986667,98631.34485
6/12/2019,9:30:00,289.9253333,98615.35758
6/12/2019,10:00:00,291.2373333,98591.15964
6/12/2019,10:30:00,292.0916667,98591.90796
6/12/2019,11:00:00,292.658,98581.13836
6/12/2019,11:30:00,292.8343333,98571.43338
6/12/2019,12:00:00,292.9313333,98555.53949
6/12/2019,12:30:00,292.7696667,98555.15236
6/12/2019,13:00:00,292.967,98554.99809
6/12/2019,13:30:00,293.1546667,98539.9662
6/12/2019,14:00:00,293.7526667,98509.89409
6/12/2019,14:30:00,293.781,98503.14187
6/12/2019,15:00:00,293.6576667,98502.29038
6/12/2019,15:30:00,294.2296667,98496.08023
6/12/2019,16:00:00,294.3643333,98480.84245
6/12/2019,16:30:00,294.6703333,98450.03857
6/12/2019,17:00:00,295.0366667,98439.44642
6/12/2019,17:30:00,295.0466667,98434.03559
6/12/2019,18:00:00,295.0806667,98420.20067
6/12/2019,18:30:00,295.002,98412.84805
6/12/2019,19:00:00,295.051,98408.80381
6/12/2019,19:30:00,294.694,98403.1164
6/12/2019,20:00:00,293.917,98422.06756
6/12/2019,20:30:00,291.4283333,99003.93353
6/12/2019,21:00:00,291.0933333,98468.6005
6/12/2019,21:30:00,290.136,98475.27207
6/12/2019,22:00:00,289.4086667,98482.91637
6/12/2019,22:30:00,289.4666667,98511.69423
6/12/2019,23:00:00,289.3673333,99018.42297
6/13/2019,0:00:00,286.8236667,99030.49913
6/13/2019,0:30:00,285.7236667,98624.08581
6/13/2019,1:00:00,284.9273333,98649.27142
6/13/2019,1:30:00,284.3186667,98657.1365
6/13/2019,2:00:00,283.441,98664.06115
6/13/2019,2:30:00,282.6523333,98685.27105
6/13/2019,3:00:00,281.7933333,98701.05269
6/13/2019,3:30:00,281.3254667,98729.97678
6/13/2019,4:00:00,280.6609333,98748.1044
6/13/2019,4:30:00,280.4531667,99042.57675
6/13/2019,5:00:00,280.9391,98782.79263
6/13/2019,5:30:00,282.1403333,98793.96464
6/13/2019,6:00:00,283.443,98803.53567
6/13/2019,6:30:00,284.3296667,98813.11304
6/13/2019,7:00:00,285.351,98818.16944
6/13/2019,7:30:00,287.2223333,98827.97722
6/13/2019,8:00:00,288.4526667,98826.38441
6/13/2019,8:30:00,289.8283333,98831.89857
6/13/2019,9:00:00,290.7853333,98841.42127
6/13/2019,9:30:00,291.5573333,98852.97268
6/13/2019,10:00:00,292.2343333,98854.72024
6/13/2019,10:30:00,292.791,98853.03383
6/13/2019,11:00:00,293.1373333,98850.45043
6/13/2019,11:30:00,293.385,98845.37384
6/13/2019,12:00:00,293.2036667,98848.69337
6/13/2019,12:30:00,294.156,98821.37105
6/13/2019,13:00:00,294.5643333,98803.8595
6/13/2019,13:30:00,295.097,98791.93778
6/13/2019,14:00:00,295.48,98776.83596
6/13/2019,14:30:00,295.7866667,98769.40273
6/13/2019,15:00:00,295.7743333,98764.42275
6/13/2019,15:30:00,295.403,98768.14276
6/13/2019,16:00:00,295.3516667,98768.56552
6/13/2019,16:30:00,294.9973333,98763.21026
6/13/2019,17:00:00,295.1533333,98748.82017
6/13/2019,17:30:00,295.676,98723.60058
6/13/2019,18:00:00,296.2056667,98706.55459
6/13/2019,18:30:00,296.3573333,98694.20508
6/13/2019,19:00:00,295.3603333,98689.48556
6/13/2019,19:30:00,295.5923333,98681.50851
6/13/2019,20:00:00,296.4523333,98672.07613
6/13/2019,20:30:00,296.184,98664.59528
6/13/2019,21:00:00,295.5966667,98663.71851
6/13/2019,21:30:00,294.9056667,98662.5551
6/13/2019,22:00:00,292.894,98671.48005
6/13/2019,22:30:00,289.216,98689.79661
6/13/2019,23:00:00,287.1423333,98701.20932
6/13/2019,23:30:00,285.429,98729.40378
6/14/2019,0:00:00,284.132,98755.30003
6/14/2019,0:30:00,283.0596667,98758.29771
6/14/2019,1:00:00,282.2806667,98758.77156
6/14/2019,1:30:00,281.8643333,98762.75821
6/14/2019,2:00:00,281.0827667,98767.106
6/14/2019,2:30:00,280.5797333,98764.62586
6/14/2019,3:00:00,280.2087333,98764.8462
6/14/2019,3:30:00,279.9602333,98763.96868
6/14/2019,4:00:00,280.2099333,98761.96273
6/14/2019,4:30:00,281.2562,99053.44788
6/14/2019,5:00:00,282.3583333,98750.97957
6/14/2019,5:30:00,283.8916667,98739.93582
6/14/2019,6:00:00,284.9383333,98732.70876
6/14/2019,6:30:00,286.0176667,98720.21521
6/14/2019,7:00:00,287.1066667,98700.70654
6/14/2019,7:30:00,288.2986667,98681.52361
6/14/2019,8:00:00,289.2503333,98657.91967
6/14/2019,8:30:00,290.0403333,98642.56966
6/14/2019,9:00:00,290.842,98613.87098
6/14/2019,9:30:00,291.9946667,98578.53946
6/14/2019,10:00:00,293.0973333,98546.02337
6/14/2019,10:30:00,294.245,98504.85571
6/14/2019,11:00:00,295.3846667,98457.51643
6/14/2019,11:30:00,296.1703333,98424.99703
6/14/2019,12:00:00,296.4956667,98383.69136
6/14/2019,12:30:00,296.505,98359.48834
6/14/2019,13:00:00,296.2836667,98322.17919
6/14/2019,13:30:00,296.432,98280.71353
6/14/2019,14:00:00,296.1343333,98278.73565
6/14/2019,14:30:00,294.733,98281.02887
6/14/2019,15:00:00,294.9263333,98257.34716
6/14/2019,15:30:00,294.8306667,98217.97353
6/14/2019,16:00:00,296.1446667,98164.8576
6/14/2019,16:30:00,297.0436667,98137.95142
6/14/2019,17:00:00,296.3256667,98135.82098
6/14/2019,17:30:00,295.727,98109.05769
6/14/2019,18:00:00,295.876,98090.39747
6/14/2019,18:30:00,295.8036667,98080.1485
6/14/2019,19:00:00,294.9526667,98070.23127
6/14/2019,19:30:00,294.5863333,98051.00681
6/14/2019,20:00:00,294.246,98037.60198
6/14/2019,20:30:00,293.6546667,98057.8189
6/14/2019,21:00:00,293.7293333,98091.08412
6/14/2019,21:30:00,292.7776667,98129.19998
6/14/2019,22:00:00,291.6546667,98147.21261
6/14/2019,22:30:00,290.791,98145.58406
6/14/2019,23:00:00,289.8323333,98143.00086
6/14/2019,23:30:00,291.1496667,98179.2235
6/15/2019,0:00:00,290.2813333,98214.42422
6/15/2019,0:30:00,290.0223333,98232.51875
6/15/2019,1:00:00,289.4773333,98241.74344
6/15/2019,1:30:00,288.1313333,98267.97881
6/15/2019,2:00:00,287.697,98301.14008
6/15/2019,2:30:00,287.474,98301.75923
6/15/2019,3:00:00,286.873,99013.59292
6/15/2019,3:30:00,286.2203333,98390.34772
6/15/2019,4:00:00,286.3043333,98433.1904
6/15/2019,4:30:00,286.581,99032.91453
6/15/2019,5:00:00,286.772,98495.04971
6/15/2019,5:30:00,286.915,98523.39641
6/15/2019,6:00:00,287.274,98541.73759
6/15/2019,6:30:00,287.6986667,98550.49576
6/15/2019,7:00:00,288.1996667,98565.51856
6/15/2019,7:30:00,289.077,98578.9833
6/15/2019,8:00:00,289.7323333,98577.3964
6/15/2019,8:30:00,290.1346667,98594.52382
6/15/2019,9:00:00,290.6056667,98597.72951
6/15/2019,9:30:00,291.0166667,98582.6463
6/15/2019,10:00:00,291.3976667,98594.85709
6/15/2019,10:30:00,291.9983333,98607.30813
6/15/2019,11:00:00,292.1423333,98611.27975
6/15/2019,11:30:00,292.52,98607.57179
6/15/2019,12:00:00,292.9323333,98603.21806
6/15/2019,12:30:00,293.0573333,98591.21353
6/15/2019,13:00:00,293.5596667,98579.02371
6/15/2019,13:30:00,293.57,98583.03398
6/15/2019,14:00:00,294.0016667,98578.74942
6/15/2019,14:30:00,291.9936667,98995.48234
6/15/2019,15:00:00,293.2686667,98579.61576
6/15/2019,15:30:00,294.3913333,98573.31966
6/15/2019,16:00:00,294.385,98576.14962
6/15/2019,16:30:00,294.6953333,98556.51476
6/15/2019,17:00:00,294.9863333,98554.00215
6/15/2019,17:30:00,294.123,98534.24636
6/15/2019,18:00:00,293.378,98575.97596
6/15/2019,18:30:00,291.6623333,98664.21476
6/15/2019,19:00:00,289.8623333,99018.42297
6/15/2019,19:30:00,289.6916667,98660.06343
6/15/2019,20:00:00,289.4033333,98635.37745
6/15/2019,20:30:00,289.3176667,98629.35277
6/15/2019,21:00:00,289.4513333,98631.55006
6/15/2019,21:30:00,289.6576667,98622.40629
6/15/2019,22:00:00,289.395,98617.99739
6/15/2019,22:30:00,288.5256667,98618.37181
6/15/2019,23:00:00,287.4073333,98624.7354
6/15/2019,23:30:00,286.2603333,98627.79726
6/16/2019,0:00:00,285.5456667,98629.33349
6/16/2019,0:30:00,285.0123333,98631.68032
6/16/2019,1:00:00,284.9373333,98634.78151
6/16/2019,1:30:00,284.9136667,98630.70745
6/16/2019,2:00:00,284.322,98626.85943
6/16/2019,2:30:00,284.0056667,98620.32458
6/16/2019,3:00:00,283.8033333,98608.24831
6/16/2019,3:30:00,283.737,98592.5644
6/16/2019,4:00:00,283.8753333,98592.22754
6/16/2019,4:30:00,284.3463333,99011.17799
6/16/2019,5:00:00,285.1096667,98580.62129
6/16/2019,5:30:00,285.3576667,98578.16651
6/16/2019,6:00:00,286.828,98571.50986
6/16/2019,6:30:00,286.851,98561.31154
6/16/2019,7:00:00,289.5076667,98540.99543
6/16/2019,7:30:00,290.5476667,98522.30615
6/16/2019,8:00:00,291.1076667,98504.70397
6/16/2019,8:30:00,291.785,98487.83941
6/16/2019,9:00:00,292.5103333,98462.48407
6/16/2019,9:30:00,293.008,98441.76123
6/16/2019,10:00:00,293.224,98424.05765
6/16/2019,10:30:00,293.6663333,98395.3104
6/16/2019,11:00:00,294.0226667,98367.36878
6/16/2019,11:30:00,294.5923333,98340.79936
6/16/2019,12:00:00,294.8493333,98317.40901
6/16/2019,12:30:00,295.4726667,98288.15305
6/16/2019,13:00:00,295.7323333,98255.13445
6/16/2019,13:30:00,296.1326667,98221.93472
6/16/2019,14:00:00,296.3146667,98191.2775
6/16/2019,14:30:00,296.3696667,98164.12135
6/16/2019,15:00:00,297.267,98124.03986
6/16/2019,15:30:00,297.124,98109.89074
6/16/2019,16:00:00,297.5133333,98078.21674
6/16/2019,16:30:00,297.8503333,98041.41616
6/16/2019,17:00:00,297.5636667,98033.33055
6/16/2019,17:30:00,297.6263333,98022.34052
6/16/2019,18:00:00,297.1036667,98018.37753
6/16/2019,18:30:00,296.2773333,98047.11202
6/16/2019,19:00:00,293.64,98111.96069
6/16/2019,19:30:00,292.0156667,98171.59819
6/16/2019,20:00:00,291.807,98171.94636
6/16/2019,20:30:00,291.385,98168.85688
6/16/2019,21:00:00,291.2506667,98167.68833
6/16/2019,21:30:00,291.3186667,98146.07064
6/16/2019,22:00:00,291.0053333,98132.00676
6/16/2019,22:30:00,288.9186667,98135.21711
6/16/2019,23:00:00,286.95,98147.05524
6/16/2019,23:30:00,285.9256667,98156.91746
6/17/2019,0:00:00,284.9986667,98172.4641
6/17/2019,0:30:00,284.06,98177.33243
6/17/2019,1:00:00,283.0976667,98173.80068
6/17/2019,1:30:00,282.5603333,98166.8178
6/17/2019,2:00:00,281.8493333,98148.16256
6/17/2019,2:30:00,281.5406667,98127.81927
6/17/2019,3:00:00,280.5060333,98120.49506
6/17/2019,3:30:00,280.4558,98108.81644
6/17/2019,4:00:00,281.0919667,98099.18411
6/17/2019,4:30:00,281.9436667,98091.03625
6/17/2019,5:00:00,282.9,98076.7313
6/17/2019,5:30:00,283.804,98058.20138
6/17/2019,6:00:00,284.9646667,98049.45759
6/17/2019,6:30:00,286.0483333,98045.60983
6/17/2019,7:00:00,287.289,98030.11231
6/17/2019,7:30:00,288.559,98001.86203
6/17/2019,8:00:00,289.3533333,97987.08038
6/17/2019,8:30:00,289.924,97980.40548
6/17/2019,9:00:00,290.5026667,97974.92966
6/17/2019,9:30:00,291.0553333,97959.65809
6/17/2019,10:00:00,291.6633333,97949.67465
6/17/2019,10:30:00,292.28,97947.11192
6/17/2019,11:00:00,292.7653333,97936.5365
6/17/2019,11:30:00,293.3696667,97917.86804
6/17/2019,12:00:00,293.8606667,97904.69232
6/17/2019,12:30:00,294.351,97882.98556
6/17/2019,13:00:00,294.5396667,97866.90198
6/17/2019,13:30:00,295.0803333,97849.80773
6/17/2019,14:00:00,295.394,97832.4693
6/17/2019,14:30:00,295.0206667,97861.52848
6/17/2019,15:00:00,292.5023333,98965.30539
6/17/2019,15:30:00,289.0523333,98965.30539
6/17/2019,16:00:00,288.5926667,97992.66489
6/17/2019,16:30:00,290.3436667,97988.94819
6/17/2019,17:00:00,290.8533333,97997.84301
6/17/2019,17:30:00,291.6903333,98022.98607
6/17/2019,18:00:00,292.3816667,98062.14616
6/17/2019,18:30:00,292.0753333,98091.04257
6/17/2019,19:00:00,291.8703333,98092.90871
6/17/2019,19:30:00,292.4363333,98087.77257
6/17/2019,20:00:00,292.0543333,99055.86384
6/17/2019,20:30:00,289.968,99055.86384
6/17/2019,21:00:00,289.3073333,98143.52981
6/17/2019,21:30:00,290.0033333,98159.27772
6/17/2019,22:00:00,290.368,98190.77824
6/17/2019,22:30:00,290.0533333,98203.53263
6/17/2019,23:00:00,288.838,98216.17845
6/17/2019,23:30:00,287.465,98238.69966
6/18/2019,0:00:00,286.4623333,98261.54126
6/18/2019,0:30:00,285.535,98273.89112
6/18/2019,1:00:00,284.396,98292.46274
6/18/2019,1:30:00,283.58,98305.828
6/18/2019,2:00:00,282.8223333,98322.5766
6/18/2019,2:30:00,282.4183333,98352.99523
6/18/2019,3:00:00,282.245,98374.97873
6/18/2019,3:30:00,282.9796667,98396.21161
6/18/2019,4:00:00,282.6513333,98424.59175
6/18/2019,4:30:00,283.216,98440.85087
6/18/2019,5:00:00,284.3253333,98454.91876
6/18/2019,5:30:00,284.96,98469.00277
6/18/2019,6:00:00,285.476,98488.29867
6/18/2019,6:30:00,285.94,98518.34531
6/18/2019,7:00:00,286.4493333,98544.04607
6/18/2019,7:30:00,287.2806667,98562.31287
6/18/2019,8:00:00,288.441,98578.60549
6/18/2019,8:30:00,289.498,98603.99748
6/18/2019,9:00:00,290.0103333,98614.19416
6/18/2019,9:30:00,290.973,98618.34163
6/18/2019,10:00:00,291.3386667,98623.9582
6/18/2019,10:30:00,291.9196667,98625.48298
6/18/2019,11:00:00,292.4136667,98637.10514
6/18/2019,11:30:00,292.7623333,98645.03011
6/18/2019,12:00:00,293.1523333,98653.19416
6/18/2019,12:30:00,293.597,98665.85817
6/18/2019,13:00:00,293.9056667,98673.12952
6/18/2019,13:30:00,293.9166667,98694.46045
6/18/2019,14:00:00,294.0746667,98704.16481
6/18/2019,14:30:00,294.387,98716.18277
6/18/2019,15:00:00,294.113,99024.46086
6/18/2019,15:30:00,291.3856667,99024.46086
6/18/2019,16:00:00,291.643,98920.66038
6/18/2019,16:30:00,292.3243333,98820.60218
6/18/2019,17:00:00,292.5326667,98833.26346
6/18/2019,17:30:00,292.8853333,98851.32179
6/18/2019,18:00:00,293.21,98862.78966
6/18/2019,18:30:00,293.4276667,98883.74247
6/18/2019,19:00:00,294.0926667,98907.57082
6/18/2019,19:30:00,293.9223333,98938.76789
6/18/2019,20:00:00,293.6313333,98974.575
6/18/2019,20:30:00,292.7156667,99000.13004
6/18/2019,21:00:00,292.3576667,99028.50376
6/18/2019,21:30:00,291.9376667,99051.30743
6/18/2019,22:00:00,291.4893333,99081.80941
6/18/2019,22:30:00,290.877,99119.09107
6/18/2019,23:00:00,289.9596667,99150.36985
6/18/2019,23:30:00,289.4316667,99182.22115
6/19/2019,0:00:00,288.726,99008.76311
6/19/2019,0:30:00,288.3366667,99235.6684
6/19/2019,1:00:00,287.7046667,99271.41779
6/19/2019,1:30:00,287.3836667,99302.57971
6/19/2019,2:00:00,287.1556667,99325.99111
6/19/2019,2:30:00,286.951,99351.73436
6/19/2019,3:00:00,286.5283333,99372.19061
6/19/2019,3:30:00,286.2473333,99393.67458
6/19/2019,4:00:00,286.3173333,99420.23299
6/19/2019,4:30:00,286.5266667,99449.31249
6/19/2019,5:00:00,287.455,99460.50681
6/19/2019,5:30:00,288.4056667,99479.41121
6/19/2019,6:00:00,288.7486667,99512.60852
6/19/2019,6:30:00,289.1816667,99531.82601
6/19/2019,7:00:00,289.0283333,99561.10837
6/19/2019,7:30:00,289.4796667,99582.56178
6/19/2019,8:00:00,290.249,99598.15484
6/19/2019,8:30:00,290.973,99607.27071
6/19/2019,9:00:00,291.7976667,99614.40207
6/19/2019,9:30:00,292.3046667,99610.98365
6/19/2019,10:00:00,292.5506667,99610.98849
6/19/2019,10:30:00,293.012,99603.60849
6/19/2019,11:00:00,293.5953333,99600.54182
6/19/2019,11:30:00,293.867,99606.87602
6/19/2019,12:00:00,294.471,99604.61471
6/19/2019,12:30:00,294.301,98943.58368
6/19/2019,13:00:00,294.2896667,99614.20145
6/19/2019,13:30:00,295.182,99607.82227
6/19/2019,14:00:00,295.7643333,99600.98035
6/19/2019,14:30:00,295.7326667,99619.47128
6/19/2019,15:00:00,292.3576667,99017.21544
6/19/2019,15:30:00,291.885,99659.31194
6/19/2019,16:00:00,291.893,99646.97828
6/19/2019,16:30:00,292.0996667,99627.10122
6/19/2019,17:00:00,291.794,99629.91303
6/19/2019,17:30:00,292.4706667,99625.70204
6/19/2019,18:00:00,294.082,99607.7864
6/19/2019,18:30:00,294.153,99603.7593
6/19/2019,19:00:00,294.1913333,99608.1436
6/19/2019,19:30:00,293.4426667,99612.31582
6/19/2019,20:00:00,292.6196667,99622.06048
6/19/2019,20:30:00,291.9686667,99626.08176
6/19/2019,21:00:00,292.04,99628.58931
6/19/2019,21:30:00,292.1583333,99641.42229
6/19/2019,22:00:00,291.9156667,99660.26245
6/19/2019,22:30:00,289.37,99696.05264
6/19/2019,23:00:00,288.1276667,99726.16343
6/19/2019,23:30:00,286.846,99754.9914
6/20/2019,0:00:00,286.103,99777.74702
6/20/2019,0:30:00,285.3996667,99798.97889
6/20/2019,1:00:00,284.8446667,99825.67949
6/20/2019,1:30:00,284.006,99845.62314
6/20/2019,2:00:00,283.3603333,99047.40822
6/20/2019,2:30:00,282.4673333,99047.40822
6/20/2019,3:00:00,282.122,99041.36892
6/20/2019,3:30:00,281.746,99041.36892
6/20/2019,4:00:00,281.9786667,99000.3115
6/20/2019,4:30:00,282.6046667,98923.07311
6/20/2019,5:00:00,283.4883333,98923.07311
6/20/2019,5:30:00,284.7193333,98921.86674
6/20/2019,6:00:00,286.098,98921.86674
6/20/2019,6:30:00,287.6033333,99001.51883
6/20/2019,7:00:00,288.9803333,98966.51229
6/20/2019,7:30:00,290.1856667,98966.51229
6/20/2019,8:00:00,291.0863333,98959.2711
6/20/2019,8:30:00,291.6796667,98959.2711
6/20/2019,9:00:00,292.384,98971.34004
6/20/2019,9:30:00,292.8546667,99080.02676
6/20/2019,10:00:00,293.439,99080.02676
6/20/2019,10:30:00,294.2646667,98982.20335
6/20/2019,11:00:00,294.9913333,98982.20335
6/20/2019,11:30:00,295.723,99031.70682
6/20/2019,12:00:00,296.3113333,99024.46086
6/20/2019,12:30:00,297.0363333,99024.46086
6/20/2019,13:00:00,297.424,99030.49913
6/20/2019,13:30:00,297.8213333,99030.49913
6/20/2019,14:00:00,298.2436667,98989.44621
6/20/2019,14:30:00,298.619,99058.27987
6/20/2019,15:00:00,298.7236667,99058.27987
6/20/2019,15:30:00,298.5376667,98935.13764
6/20/2019,16:00:00,299.0796667,98935.13764
6/20/2019,16:30:00,299.2996667,99012.38545
6/20/2019,17:00:00,299.2756667,98953.23718
6/20/2019,17:30:00,299.0546667,98953.23718
6/20/2019,18:00:00,298.8106667,98984.61758
6/20/2019,18:30:00,298.7063333,98984.61758
6/20/2019,19:00:00,298.824,99041.36892
6/20/2019,19:30:00,298.7683333,99028.08378
6/20/2019,20:00:00,298.7843333,99028.08378
6/20/2019,20:30:00,298.7503333,99041.36892
6/20/2019,21:00:00,298.4486667,99041.36892
6/20/2019,21:30:00,297.3306667,99017.21544
6/20/2019,22:00:00,295.9046667,98966.51229
6/20/2019,22:30:00,292.4143333,98966.51229
6/20/2019,23:00:00,290.502,98950.82372
6/20/2019,23:30:00,288.7276667,98950.82372
6/22/2019,0:00:00,293.623,98908.7
6/22/2019,0:30:00,292.072,98928.6
6/22/2019,1:00:00,291.964,98945.1
6/22/2019,1:30:00,290.958,98979.2
6/22/2019,2:00:00,288.546,99006.5
6/22/2019,2:30:00,287.212,99018.4
6/22/2019,3:00:00,286.515,99012.9
6/22/2019,3:30:00,285.67,99024.6
6/22/2019,4:00:00,285.386,99042.4
6/22/2019,4:30:00,285.057,99062.7
6/22/2019,5:00:00,285.113,99068.9
6/22/2019,5:30:00,285.87,99086.1
6/22/2019,6:00:00,286.232,99103.1
6/22/2019,6:30:00,286.826,99104.7
6/22/2019,7:00:00,287.1,99100.3
6/22/2019,7:30:00,287.557,99114
6/22/2019,8:00:00,288.135,99127.5
6/22/2019,8:30:00,288.945,99109.7
6/22/2019,9:00:00,290.433,99095.3
6/22/2019,9:30:00,291.995,99074.8
6/22/2019,10:00:00,293.634,99059.3
6/22/2019,10:30:00,294.798,99047.6
6/22/2019,11:00:00,295.882,99032
6/22/2019,11:30:00,296.215,99030.6
6/22/2019,12:00:00,296.418,99029
6/22/2019,12:30:00,296.633,99017.3
6/22/2019,13:00:00,297.062,99000.6
6/22/2019,13:30:00,297.362,98996.9
6/22/2019,14:00:00,297.749,98982.7
6/22/2019,14:30:00,298.083,98973.4
6/22/2019,15:00:00,298.4,98963.5
6/22/2019,15:30:00,298.601,98955.5
6/22/2019,16:00:00,298.855,98929.7
6/22/2019,16:30:00,299.017,98910.6
6/22/2019,17:00:00,299.188,98914.3
6/22/2019,17:30:00,299.213,98943.9
6/22/2019,18:00:00,296.374,99004.3
6/22/2019,18:30:00,295.338,99020.4
6/22/2019,19:00:00,295.034,99036.6
6/22/2019,19:30:00,294.378,99034.1
6/22/2019,20:00:00,294.017,99063.9
6/22/2019,20:30:00,293.492,99101.2
6/22/2019,21:00:00,292.5,99130.2
6/22/2019,21:30:00,291.831,99164
6/22/2019,22:00:00,291.58,99179.6
6/22/2019,22:30:00,290.707,99170
6/22/2019,23:00:00,289.89,99187.8
6/22/2019,23:30:00,289.997,99243.5
6/23/2019,0:00:00,289.962,99285.6
6/23/2019,0:30:00,288.985,99324.6
6/23/2019,1:00:00,288.381,99351.5
6/23/2019,1:30:00,288.288,99380.5
6/23/2019,2:30:00,288.135,99343.1
6/23/2019,3:00:00,288.235,99313.8
6/23/2019,3:30:00,288.196,99307.6
6/23/2019,6:30:00,287.712,99414.7
6/23/2019,7:00:00,287.714,99423.9
6/23/2019,7:30:00,288.033,99426.7
